,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
132,Draymond Green,35,GSW,PF,55,55,1492,.415,17.4,.376,.205,.115,.044,.012,.624,.558,.702,.426,.333,.200,.328,.837,.988,.017,6,.324,.386,0,0,,greendr01
133,Isaiah Collier,21,UTA,PG,58,18,1489,.496,10.0,.806,.209,.449,.109,.040,.194,.549,.802,.485,.418,.300,.276,.321,.667,.024,12,.214,.238,0,0,,colliis01
134,Ausar Thompson,23,DET,SF,58,57,1484,.517,5.7,.953,.406,.428,.098,.021,.047,.529,.670,.448,.348,.300,.273,.599,.833,.181,73,.455,.200,0,0,,thompau01
135,Isaac Okoro,25,CHI,SG,55,55,1480,.449,12.9,.520,.404,.114,.003,.000,.480,.563,.638,.311,.000,,.326,.716,.919,.030,12,.574,.358,0,0,,okorois01
136,Jamal Shead,23,TOR,PG,67,7,1475,.367,16.6,.472,.163,.206,.086,.017,.528,.416,.574,.337,.333,.286,.323,.317,.873,.005,2,.191,.238,0,0,,sheadja01
137,Josh Giddey,23,CHI,PG,46,43,1470,.459,13.1,.620,.268,.270,.051,.032,.380,.504,.607,.444,.500,.150,.387,.327,.826,.011,7,.130,.355,0,0,,giddejo01
138,Brice Sensabaugh,22,UTA,SF,65,14,1459,.449,17.5,.465,.095,.192,.137,.041,.535,.558,.723,.591,.404,.536,.354,.652,.877,.038,21,.245,.478,0,0,,sensabr01
139,Pelle Larsson,24,MIA,SG,57,44,1455,.492,11.7,.641,.330,.265,.039,.007,.359,.582,.715,.466,.353,.000,.331,.638,.962,.050,21,.268,.357,0,0,,larsspe01
140,Jaren Jackson Jr.,26,2TM,C,48,48,1454,.476,12.6,.673,.147,.376,.146,.004,.327,.533,.585,.556,.438,.000,.357,.581,.976,.021,11,.226,.377,0,0,,jacksja02
141,Jaren Jackson Jr.,26,MEM,C,45,45,1382,.475,12.9,.672,.151,.366,.151,.004,.328,.531,.574,.559,.436,.000,.359,.565,.975,.022,11,.223,.388,0,0,,jacksja02
142,Jaren Jackson Jr.,26,UTA,C,3,3,72,.490,12.3,.694,.102,.510,.082,.000,.306,.559,.800,.520,.500,,.333,.789,1.000,.000,0,.267,.250,0,0,,jacksja02
143,Dennis Schröder,32,2TM,PG,57,16,1448,.404,14.1,.626,.132,.255,.157,.083,.374,.444,.603,.404,.391,.413,.338,.221,.757,.000,0,.159,.424,0,0,,schrode01
144,Dennis Schröder,32,SAC,PG,40,14,1056,.408,15.6,.607,.109,.237,.166,.095,.393,.449,.565,.420,.400,.475,.343,.235,.719,.000,0,.157,.462,0,0,,schrode01
145,Dennis Schröder,32,CLE,PG,17,2,392,.394,12.6,.689,.205,.311,.129,.045,.311,.429,.667,.366,.353,.000,.317,.179,.923,.000,0,.171,.286,0,0,,schrode01
146,Oso Ighodaro,23,PHO,PF,68,14,1443,.642,4.4,.996,.475,.426,.096,.000,.004,.644,.821,.500,.407,,.000,.757,,.326,84,.000,,0,0,,ighodos01
147,Lauri Markkanen,28,UTA,PF,42,42,1443,.477,13.9,.598,.210,.267,.073,.047,.402,.559,.734,.507,.441,.263,.355,.717,.948,.096,70,.207,.478,0,0,,markkla01
148,Shaedon Sharpe,22,POR,SG,48,42,1439,.456,14.1,.649,.244,.187,.104,.115,.351,.518,.734,.424,.364,.351,.340,.432,.545,.076,54,.108,.344,0,0,,sharpsh01
149,Austin Reaves,27,LAL,SG,42,36,1435,.496,15.1,.573,.153,.275,.123,.022,.427,.591,.847,.534,.468,.214,.369,.323,.713,.005,3,.124,.412,0,0,,reaveau01
150,Kel'el Ware,21,MIA,C,63,31,1431,.531,10.4,.662,.454,.176,.017,.015,.338,.606,.709,.375,.444,.375,.386,.674,1.000,.244,119,.288,.453,0,0,,wareke01
151,Sandro Mamukelashvili,26,TOR,C,65,12,1423,.515,13.7,.531,.337,.166,.026,.002,.469,.646,.759,.464,.308,1.000,.367,.746,1.000,.073,35,.224,.415,0,0,,mamuksa01
152,Tobias Harris,33,DET,PF,50,50,1414,.460,13.7,.646,.143,.288,.177,.038,.354,.522,.605,.503,.532,.300,.346,.492,.969,.043,20,.441,.386,0,0,,harrito02
153,Jay Huff,27,IND,C,68,41,1406,.470,17.6,.375,.232,.131,.010,.002,.625,.730,.812,.591,.600,1.000,.314,.812,.990,.149,65,.127,.275,0,0,,huffja01
154,Jarrett Allen,27,CLE,C,51,51,1405,.636,5.2,.979,.445,.420,.089,.025,.021,.648,.813,.525,.488,.333,.100,.823,1.000,.254,112,.600,.000,0,0,,allenja01
155,Terance Mann,29,BRK,SG,57,47,1397,.462,13.6,.594,.250,.197,.109,.038,.406,.530,.682,.403,.459,.385,.362,.449,.840,.047,13,.420,.362,0,0,,mannte01
156,Ivica Zubac,28,2TM,C,46,45,1397,.608,4.8,1.000,.463,.458,.079,.000,.000,.608,.705,.524,.528,,,.667,,.203,80,,,0,0,,zubaciv01
157,Ivica Zubac,28,LAC,C,43,42,1328,.613,4.0,1.000,.473,.450,.077,.000,.000,.613,.714,.523,.515,,,.665,,.203,76,,,0,0,,zubaciv01
158,Ivica Zubac,28,IND,C,3,3,69,.520,5.5,1.000,.280,.600,.120,.000,.000,.520,.429,.533,.667,,,.692,,.200,4,,,0,0,,zubaciv01
159,Kyshawn George,22,WAS,SF,48,48,1391,.438,16.5,.549,.135,.199,.137,.078,.451,.486,.731,.357,.494,.378,.381,.331,.818,.019,9,.192,.460,0,0,,georgky01
160,Precious Achiuwa,26,SAC,C,61,45,1388,.535,7.8,.832,.376,.396,.053,.004,.168,.577,.700,.514,.250,.000,.329,.562,1.000,.139,53,.368,.286,0,0,,achiupr01
161,Dominick Barlow,22,PHI,PF,57,50,1388,.538,8.0,.779,.483,.235,.041,.020,.221,.612,.741,.469,.143,.143,.276,.652,1.000,.163,53,.737,.250,0,0,,barlodo01
162,Vít Krejčí,25,2TM,PG,64,8,1387,.448,20.9,.232,.085,.094,.042,.012,.768,.636,.750,.600,.500,.600,.391,.873,.945,.012,4,.217,.352,0,0,,krejcvi01
163,Vít Krejčí,25,ATL,PG,46,8,1028,.464,21.1,.224,.088,.081,.045,.010,.776,.609,.704,.600,.429,.667,.423,.881,.960,.013,3,.205,.347,0,0,,krejcvi01
164,Vít Krejčí,25,POR,PG,18,0,359,.407,20.7,.254,.076,.127,.034,.017,.746,.700,.889,.600,.750,.500,.307,.857,.889,.008,1,.250,.364,0,0,,krejcvi01
165,Cedric Coward,22,MEM,SG,53,38,1378,.467,13.8,.573,.248,.212,.099,.015,.427,.561,.713,.483,.407,.125,.342,.506,.888,.055,26,.261,.246,0,0,,cowarce01
166,Tre Jones,26,CHI,PG,51,27,1376,.548,8.6,.784,.459,.243,.069,.013,.216,.614,.694,.486,.548,.500,.309,.468,.867,.002,1,.320,.419,0,0,,jonestr01
167,Anfernee Simons,26,2TM,SG,55,5,1372,.440,19.7,.415,.057,.153,.114,.091,.585,.517,.622,.586,.514,.339,.385,.216,.658,.003,2,.087,.424,0,0,,simonan01
168,Anfernee Simons,26,BOS,SG,49,0,1202,.440,19.5,.421,.051,.158,.116,.095,.579,.502,.655,.567,.485,.333,.395,.200,.662,.004,2,.088,.448,0,0,,simonan01
169,Anfernee Simons,26,CHI,SG,6,5,170,.438,19.9,.375,.100,.113,.100,.063,.625,.633,.500,.778,.750,.400,.320,.316,.625,.000,0,.080,.250,0,0,,simonan01
170,Bennedict Mathurin,23,2TM,SF,44,25,1372,.433,14.1,.633,.205,.204,.117,.107,.367,.499,.678,.392,.464,.397,.319,.565,.710,.036,19,.153,.455,0,0,,mathube01
171,Bennedict Mathurin,23,IND,SF,28,24,891,.433,16.1,.564,.179,.170,.098,.117,.436,.480,.609,.393,.486,.405,.372,.557,.724,.025,8,.167,.538,0,0,,mathube01
172,Bennedict Mathurin,23,LAC,SF,16,1,481,.433,12.2,.740,.247,.255,.147,.091,.260,.520,.754,.390,.441,.381,.183,.573,.636,.052,11,.117,.143,0,0,,mathube01
173,Jock Landale,30,2TM,C,61,26,1351,.515,11.7,.655,.327,.248,.062,.018,.345,.581,.644,.556,.419,.333,.390,.684,.955,.058,23,.267,.413,0,0,,landajo01
174,Jock Landale,30,MEM,C,45,25,1060,.514,11.4,.668,.324,.262,.062,.021,.332,.581,.643,.559,.417,.375,.380,.689,.980,.051,16,.202,.385,0,0,,landajo01
175,Jock Landale,30,ATL,C,16,1,291,.518,11.9,.609,.336,.200,.064,.009,.391,.582,.649,.545,.429,.000,.419,.667,.889,.082,7,.465,.450,0,0,,landajo01
176,Luke Kennard,29,2TM,SG,64,1,1342,.544,17.9,.410,.111,.123,.120,.057,.590,.632,.615,.605,.690,.600,.483,.725,.980,.000,0,.314,.523,0,0,,kennalu01
177,Luke Kennard,29,ATL,SG,46,0,944,.538,18.7,.379,.108,.108,.100,.063,.621,.604,.538,.500,.792,.600,.497,.691,.986,.000,0,.329,.531,0,0,,kennalu01
178,Luke Kennard,29,LAL,SG,18,1,398,.559,17.1,.477,.117,.153,.162,.045,.523,.679,.769,.765,.556,.600,.448,.778,.962,.000,0,.276,.500,0,0,,kennalu01
179,Herbert Jones,27,NOP,SF,46,46,1332,.383,15.6,.471,.248,.150,.040,.033,.529,.484,.616,.333,.313,.385,.294,.560,.919,.050,19,.303,.297,0,0,,joneshe01
180,Kelly Oubre Jr.,30,PHI,SF,41,36,1330,.463,14.3,.552,.227,.234,.072,.020,.448,.545,.663,.486,.364,.556,.361,.507,.946,.061,24,.317,.446,0,0,,oubreke01
181,Mark Williams,24,PHO,C,56,52,1322,.633,3.4,.998,.612,.330,.051,.005,.002,.633,.718,.500,.524,.000,1.000,.688,1.000,.306,114,1.000,1.000,0,0,,willima07
182,Brandon Williams,26,DAL,PG,60,15,1320,.472,10.8,.746,.292,.295,.105,.053,.254,.549,.707,.416,.508,.500,.245,.309,.943,.020,11,.259,.243,1,0,,willibr03
183,Grayson Allen,30,PHO,SG,44,26,1312,.407,20.2,.316,.094,.180,.034,.008,.684,.521,.768,.411,.400,.600,.354,.469,.785,.010,6,.106,.395,0,0,,allengr01
184,Egor Dёmin,19,BRK,PG,52,45,1308,.399,20.6,.283,.109,.096,.036,.042,.717,.433,.551,.419,.438,.158,.385,.509,.823,.013,4,.152,.449,0,0,,demineg01
185,RJ Barrett,25,TOR,SF,43,43,1301,.493,11.9,.647,.315,.259,.066,.007,.353,.574,.707,.446,.450,.500,.346,.556,.973,.045,26,.229,.347,0,0,,barrerj01
186,Tre Johnson,19,WAS,SG,54,36,1300,.425,18.2,.497,.073,.172,.189,.064,.503,.481,.667,.404,.468,.514,.369,.457,.813,.014,6,.172,.460,0,0,,johnstr03
187,Sidy Cissoko,21,POR,SF,62,24,1296,.405,16.5,.402,.209,.160,.016,.016,.598,.537,.719,.388,.000,.200,.317,.621,.948,.114,25,.432,.380,0,0,,cissosi01
188,Klay Thompson,35,DAL,SF,59,8,1293,.392,21.7,.279,.053,.040,.083,.104,.721,.423,.636,.360,.385,.369,.380,.824,.930,.000,0,.212,.427,0,0,,thompkl01
189,Isaiah Joe,26,OKC,SG,59,9,1291,.445,21.6,.225,.092,.046,.050,.037,.775,.563,.595,.571,.565,.471,.411,.845,.952,.024,10,.237,.548,0,0,,joeis01
190,Zaccharie Risacher,20,ATL,SF,54,45,1285,.442,15.0,.521,.303,.105,.045,.068,.479,.520,.627,.408,.333,.344,.357,.740,.950,.113,44,.321,.375,0,0,,risacza01
191,Cameron Johnson,29,DEN,SF,42,42,1283,.457,16.4,.476,.214,.125,.067,.070,.524,.509,.727,.333,.292,.360,.410,.736,.961,.047,16,.303,.439,0,0,,johnsca02
192,Ron Holland,20,DET,SF,63,5,1282,.432,11.8,.630,.283,.296,.036,.013,.370,.555,.677,.511,.125,.167,.223,.605,1.000,.100,40,.590,.214,0,0,,hollaro01
193,Jordan Goodwin,27,PHO,PG,58,4,1280,.413,16.2,.467,.225,.135,.073,.034,.533,.477,.571,.444,.294,.375,.357,.433,.888,.011,4,.329,.354,0,0,,goodwjo01
194,Spencer Jones,24,DEN,SF,56,35,1275,.500,15.1,.438,.285,.128,.017,.008,.562,.623,.696,.484,.500,.500,.404,.712,1.000,.058,12,.625,.365,0,0,,jonessp01
195,Isaiah Stewart,24,DET,C,55,13,1273,.541,9.8,.697,.352,.334,.008,.003,.303,.632,.757,.504,.667,.000,.333,.724,1.000,.130,46,.410,.417,0,0,,stewais01
196,Bilal Coulibaly,21,WAS,SG,47,47,1252,.415,12.9,.599,.293,.235,.047,.023,.401,.486,.680,.270,.350,.500,.310,.460,.906,.148,51,.363,.435,0,0,,coulibi01
197,Brook Lopez,37,LAC,C,61,26,1241,.416,19.1,.386,.094,.176,.097,.020,.614,.513,.684,.507,.436,.125,.355,.600,1.000,.027,10,.145,.389,0,0,,lopezbr01
198,Alex Sarr,20,WAS,C,45,45,1239,.494,10.3,.778,.264,.373,.101,.040,.222,.537,.780,.431,.381,.320,.341,.673,.915,.116,67,.072,.400,0,0,,sarral01
199,Collin Sexton,27,2TM,SG,54,15,1239,.490,14.0,.617,.248,.235,.078,.056,.383,.551,.686,.469,.512,.355,.392,.378,.783,.000,0,.189,.450,0,0,,sextoco01
200,Collin Sexton,27,CHO,SG,42,12,938,.488,13.3,.650,.244,.249,.089,.068,.350,.539,.713,.437,.514,.321,.393,.372,.789,.000,0,.145,.571,0,0,,sextoco01
201,Collin Sexton,27,CHI,SG,12,3,301,.496,14.7,.518,.259,.194,.043,.022,.482,.597,.611,.593,.500,.667,.388,.395,.769,.000,0,.284,.316,0,0,,sextoco01
202,Kevin Huerter,27,2TM,SF,56,11,1232,.446,16.4,.444,.214,.180,.038,.013,.556,.629,.822,.435,.611,.167,.300,.682,.937,.021,10,.243,.344,0,0,,huertke01
203,Kevin Huerter,27,CHI,SF,44,11,1037,.455,16.1,.448,.223,.173,.042,.010,.552,.630,.800,.443,.647,.000,.314,.675,.943,.020,8,.224,.380,0,0,,huertke01
204,Kevin Huerter,27,DET,SG,12,0,195,.391,16.7,.420,.159,.217,.014,.029,.580,.621,1.000,.400,.000,.500,.225,.722,.889,.029,2,.350,.214,0,0,,huertke01
205,Khris Middleton,34,2TM,SF,51,44,1232,.429,16.1,.663,.088,.167,.236,.172,.337,.469,.683,.346,.482,.463,.350,.414,.818,.000,0,.293,.391,0,0,,middlkh01
206,Khris Middleton,34,WAS,SF,34,34,827,.433,15.7,.670,.117,.160,.213,.180,.330,.483,.657,.354,.484,.481,.333,.392,.848,.000,0,.293,.379,0,0,,middlkh01
207,Khris Middleton,34,DAL,SF,17,10,405,.422,16.6,.651,.036,.181,.277,.157,.349,.444,.833,.333,.478,.423,.379,.458,.773,.000,0,.293,.412,0,0,,middlkh01
208,Kevin Porter Jr.,25,MIL,PG,37,35,1228,.463,12.9,.721,.255,.206,.128,.132,.279,.517,.677,.398,.422,.485,.324,.237,.644,.064,27,.201,.286,0,0,,porteke02
209,Zach LaVine,30,SAC,SG,39,37,1224,.479,16.7,.536,.157,.185,.062,.132,.464,.556,.767,.525,.500,.375,.390,.577,.768,.055,28,.197,.480,0,0,,lavinza01
210,Stephen Curry,37,GSW,PG,39,39,1222,.468,19.5,.398,.114,.152,.065,.067,.602,.584,.706,.575,.458,.520,.391,.514,.703,.001,0,.067,.533,0,0,AS,curryst01
211,Dylan Harper,19,SAS,SG,55,0,1219,.487,10.4,.732,.417,.176,.092,.047,.268,.559,.657,.433,.404,.458,.292,.364,.925,.043,21,.226,.355,0,0,,harpedy01
212,Aaron Wiggins,27,OKC,SG,53,18,1218,.430,15.0,.492,.243,.191,.046,.013,.508,.511,.607,.398,.476,.500,.350,.578,.854,.035,15,.278,.354,0,0,,wiggiaa01
213,Ajay Mitchell,23,OKC,SG,46,11,1215,.487,12.0,.701,.210,.349,.101,.040,.299,.548,.712,.468,.600,.250,.345,.316,.765,.008,4,.284,.405,0,0,,mitchaj01
214,Javonte Green,32,DET,SG,67,5,1214,.441,16.2,.423,.220,.171,.014,.017,.577,.541,.658,.458,.000,.333,.367,.772,.959,.093,27,.387,.532,0,0,,greenja02
215,Ryan Kalkbrenner,24,CHO,C,55,30,1214,.741,2.7,.984,.745,.227,.004,.008,.016,.753,.815,.571,.000,.500,.000,.716,,.445,103,.000,,0,0,,kalkbry01
216,Ben Sheppard,24,IND,SG,56,19,1210,.418,17.6,.386,.175,.131,.050,.030,.614,.531,.661,.409,.529,.300,.348,.754,.986,.015,5,.362,.373,0,0,,sheppbe01
217,Luke Kornet,30,SAS,C,57,23,1209,.652,2.1,1.000,.815,.155,.026,.004,.000,.652,.705,.417,.500,.000,,.750,,.322,72,,,0,0,,kornelu01
218,Santi Aldama,25,MEM,PF,43,11,1198,.479,14.1,.580,.206,.263,.082,.029,.420,.572,.714,.520,.513,.214,.350,.804,.986,.044,21,.245,.551,0,0,,aldamsa01
219,Cody Williams,21,UTA,SG,54,28,1191,.478,10.6,.702,.289,.332,.047,.034,.298,.580,.699,.514,.600,.182,.240,.733,1.000,.183,48,.656,.270,0,0,,willico04
220,Dean Wade,29,CLE,PF,53,32,1191,.437,18.6,.286,.214,.040,.020,.012,.714,.611,.630,.600,.400,.667,.367,.727,.985,.048,10,.372,.418,0,0,,wadede01
221,Josh Okogie,27,HOU,SG,64,29,1185,.435,15.2,.442,.238,.173,.012,.019,.558,.478,.581,.378,.333,.200,.400,.600,1.000,.112,22,.641,.366,0,0,,okogijo01
222,Tari Eason,24,HOU,PF,45,31,1185,.421,14.6,.542,.219,.194,.089,.041,.458,.458,.646,.412,.231,.167,.378,.459,.987,.050,19,.483,.474,1,1,,easonta01
223,Jimmy Butler,36,GSW,SF,38,38,1182,.519,9.3,.816,.342,.303,.121,.050,.184,.552,.741,.479,.375,.130,.376,.505,.719,.067,30,.435,.432,0,0,,butleji01
224,Jalen Suggs,24,ORL,PG,44,43,1179,.438,17.3,.462,.168,.134,.108,.052,.538,.571,.714,.552,.426,.462,.323,.379,.805,.030,12,.164,.318,0,0,,suggsja01
225,De'Andre Hunter,28,2TM,SF,45,25,1176,.415,17.0,.509,.134,.176,.136,.064,.491,.522,.687,.432,.500,.469,.305,.662,.853,.034,14,.211,.365,0,0,,huntede01
226,De'Andre Hunter,28,CLE,SF,43,23,1125,.423,16.7,.508,.139,.170,.137,.062,.492,.535,.687,.463,.515,.433,.308,.664,.849,.035,14,.211,.360,0,0,,huntede01
227,De'Andre Hunter,28,SAC,SF,2,2,51,.211,17.2,.526,.000,.316,.105,.105,.474,.200,,.000,.000,1.000,.222,.500,1.000,.000,0,.222,.500,0,0,,huntede01
228,Gary Trent Jr.,27,MIL,SG,56,17,1175,.378,21.6,.265,.039,.087,.066,.073,.735,.455,.600,.394,.480,.429,.350,.587,.929,.000,0,.286,.438,0,0,,trentga02
229,Jose Alvarado,27,2TM,PG,58,0,1175,.411,18.3,.331,.137,.140,.046,.008,.669,.553,.706,.462,.471,.000,.341,.529,.741,.000,0,.273,.368,0,0,,alvarjo01
230,Jose Alvarado,27,NOP,PG,41,0,896,.418,19.2,.311,.118,.146,.039,.007,.689,.540,.697,.439,.545,.000,.363,.468,.714,.000,0,.285,.345,0,0,,alvarjo01
231,Jose Alvarado,27,NYK,PG,17,0,279,.391,17.5,.391,.196,.120,.065,.011,.609,.583,.722,.545,.333,.000,.268,.667,.867,.000,0,.232,.462,0,0,,alvarjo01
232,Nicolas Batum,37,LAC,PF,64,5,1168,.398,24.1,.043,.009,.005,.009,.019,.957,.444,.500,.000,.500,.500,.396,.750,1.000,.000,0,.441,.472,0,0,,batumni01
233,Will Richard,23,GSW,SG,58,19,1165,.463,16.9,.394,.228,.111,.033,.023,.606,.661,.814,.471,.200,.714,.333,.650,.968,.042,13,.430,.375,0,0,,richawi02
234,Malik Monk,27,SAC,SG,53,0,1165,.437,17.0,.508,.104,.222,.128,.055,.492,.477,.719,.402,.457,.367,.396,.504,.738,.053,28,.144,.359,0,0,,monkma01
235,Day'Ron Sharpe,24,BRK,C,62,7,1160,.601,5.2,.890,.587,.292,.003,.008,.110,.647,.751,.462,.000,.000,.231,.537,1.000,.163,50,.333,.385,0,0,,sharpda01
236,Kobe Sanders,23,LAC,SG,56,16,1157,.455,16.6,.510,.150,.156,.127,.076,.490,.506,.787,.429,.350,.375,.403,.556,.968,.057,18,.312,.479,0,0,,sandeko01
237,Aaron Nesmith,26,IND,SF,39,36,1157,.397,17.3,.457,.148,.159,.094,.056,.543,.436,.515,.423,.476,.200,.364,.809,.966,.031,8,.260,.381,0,0,,nesmiaa01
238,Jrue Holiday,35,POR,PG,40,38,1154,.467,16.0,.513,.155,.222,.100,.036,.487,.549,.728,.491,.385,.579,.382,.333,.515,.006,3,.142,.444,0,0,,holidjr01
239,Will Riley,19,WAS,SF,59,8,1150,.433,14.8,.596,.191,.249,.107,.048,.404,.500,.747,.437,.386,.100,.335,.488,.821,.051,20,.174,.310,0,0,,rileywi01
240,Keon Ellis,26,2TM,SG,59,7,1148,.428,19.7,.311,.107,.097,.080,.027,.689,.548,.875,.517,.292,.125,.374,.706,.961,.050,14,.306,.397,0,0,,elliske01
241,Keon Ellis,26,SAC,SG,43,5,758,.397,20.1,.311,.091,.096,.096,.029,.689,.462,.789,.550,.200,.000,.368,.700,.943,.048,9,.292,.381,0,0,,elliske01
242,Keon Ellis,26,CLE,SG,16,2,390,.500,19.3,.311,.144,.100,.044,.022,.689,.750,1.000,.444,.750,.500,.387,.714,1.000,.056,5,.339,.429,0,0,,elliske01
243,Ryan Dunn,23,PHO,SF,59,14,1145,.435,13.3,.532,.321,.172,.029,.010,.468,.530,.646,.358,.333,.333,.326,.644,1.000,.123,30,.674,.340,0,0,,dunnry01
244,Justin Champagnie,24,WAS,SF,59,15,1138,.510,10.9,.643,.422,.204,.016,.000,.357,.614,.755,.360,.167,,.321,.538,.929,.114,36,.344,.289,0,0,,champju01
245,Patrick Williams,24,CHI,PF,58,4,1134,.382,17.1,.433,.182,.190,.048,.013,.567,.395,.515,.268,.444,.400,.373,.391,.911,.029,6,.184,.385,0,0,,willipa01
246,Danny Wolf,21,BRK,PF,54,12,1128,.406,14.4,.517,.264,.219,.017,.017,.483,.484,.609,.374,.143,.286,.323,.587,.938,.034,12,.249,.340,0,0,,wolfda01
247,Svi Mykhailiuk,28,UTA,SF,48,41,1123,.478,18.1,.348,.130,.159,.038,.021,.652,.619,.705,.574,.538,.571,.403,.658,.921,.024,5,.407,.467,0,0,,mykhasv01
248,Quinten Post,25,GSW,PF,64,34,1120,.439,17.9,.369,.143,.171,.030,.026,.631,.620,.803,.507,.462,.545,.333,.694,.989,.042,18,.311,.298,0,0,,postqu01
249,Walter Clayton,22,2TM,PG,57,3,1115,.387,16.2,.479,.126,.235,.064,.053,.521,.491,.556,.452,.522,.474,.290,.500,.741,.011,3,.108,.200,0,0,,claytwa01
250,Walter Clayton,22,UTA,PG,45,0,811,.398,17.6,.441,.094,.230,.066,.051,.559,.513,.458,.492,.647,.538,.308,.448,.705,.008,2,.098,.143,0,0,,claytwa01
251,Walter Clayton,22,MEM,PG,12,3,304,.356,14.7,.574,.208,.248,.059,.059,.426,.448,.667,.360,.167,.333,.233,.615,.900,.020,1,.140,.333,0,0,,claytwa01
252,Ziaire Williams,24,BRK,SF,48,7,1096,.419,17.4,.357,.216,.104,.031,.006,.643,.567,.688,.405,.364,.000,.336,.653,.974,.081,27,.358,.341,0,0,,willizi02
253,Dru Smith,28,MIA,SG,64,1,1092,.415,12.9,.601,.254,.293,.048,.006,.399,.487,.570,.418,.467,.500,.306,.451,.921,.000,0,.371,.326,0,0,,smithdr01
254,Baylor Scheierman,25,BOS,SG,63,17,1091,.455,20.7,.272,.077,.089,.085,.020,.728,.642,.737,.500,.667,.800,.385,.674,.986,.016,4,.363,.523,0,0,,scheiba01
255,Kentavious Caldwell-Pope,32,MEM,SG,51,14,1088,.410,17.5,.525,.101,.161,.090,.172,.475,.495,.649,.475,.455,.444,.316,.726,.873,.016,4,.155,.333,0,0,,caldwke01
256,Sam Merrill,29,CLE,SG,42,30,1086,.470,21.9,.206,.082,.042,.045,.037,.794,.564,.871,.500,.294,.286,.445,.841,.940,.000,0,.166,.560,0,0,,merrisa01
257,Jaylin Williams,23,OKC,PF,53,11,1084,.416,19.9,.285,.121,.095,.043,.026,.715,.540,.649,.414,.615,.375,.367,.915,.988,.036,8,.216,.383,0,0,,willija07
258,Jusuf Nurkić,31,UTA,C,41,36,1083,.503,9.1,.802,.263,.472,.061,.006,.198,.540,.574,.515,.591,.500,.352,.710,1.000,.028,8,.042,.667,0,0,,nurkiju01
259,Ja'Kobe Walter,21,TOR,SG,57,11,1074,.417,17.5,.353,.217,.098,.034,.003,.647,.529,.594,.517,.200,.000,.356,.727,1.000,.064,16,.435,.446,0,0,,walteja01
260,Gui Santos,23,GSW,PF,57,21,1071,.506,14.7,.485,.273,.201,.009,.003,.515,.659,.755,.536,.333,1.000,.362,.673,1.000,.020,7,.266,.426,0,0,,santogu01
261,Yves Missi,21,NOP,C,56,9,1064,.535,2.8,.996,.667,.288,.033,.008,.004,.537,.636,.371,.125,.000,.000,.592,,.251,50,.000,,0,0,,missiyv01
262,Jordan Clarkson,33,NYK,SG,59,1,1058,.442,14.9,.545,.172,.241,.107,.025,.455,.529,.649,.537,.354,.364,.338,.481,.957,.016,6,.382,.333,0,0,,clarkjo01
263,Kris Murray,25,POR,SF,44,15,1051,.457,11.8,.575,.380,.195,.000,.000,.425,.598,.667,.465,,,.266,.671,1.000,.136,28,.564,.264,0,0,,murrakr01
264,Jalen Smith,25,CHI,C,50,18,1046,.476,15.2,.460,.332,.100,.003,.026,.540,.606,.715,.333,.000,.300,.365,.780,1.000,.077,26,.251,.377,0,0,,smithja04
265,Collin Murray-Boyles,20,TOR,PF,47,22,1046,.557,7.1,.823,.594,.170,.018,.041,.177,.601,.696,.413,.200,.182,.354,.821,1.000,.159,35,.271,.231,0,0,,murraco01
266,Daniel Gafford,27,DAL,C,48,38,1040,.647,2.7,1.000,.665,.308,.019,.008,.000,.647,.740,.463,.400,.500,,.634,,.346,77,,,0,0,,gaffoda01
267,Giannis Antetokounmpo,31,MIL,PF,36,36,1039,.624,6.1,.925,.610,.161,.064,.090,.075,.647,.800,.427,.289,.259,.333,.475,.867,.247,142,.022,1.000,0,0,AS,antetgi01
268,Joel Embiid,31,PHI,C,33,33,1029,.495,13.1,.780,.240,.150,.212,.177,.220,.545,.688,.400,.520,.509,.318,.608,.857,.027,11,.045,.333,0,0,,embiijo01
269,Craig Porter Jr.,25,CLE,PG,58,2,1024,.444,12.8,.645,.265,.214,.154,.013,.355,.490,.694,.320,.361,.667,.361,.514,.833,.043,10,.337,.429,0,0,,portecr01
270,Landry Shamet,28,NYK,SG,44,11,1022,.446,19.8,.268,.157,.034,.046,.031,.732,.586,.765,.000,.400,.600,.395,.765,.979,.009,2,.437,.433,0,0,,shamela01
271,Christian Braun,24,DEN,SG,32,32,1021,.491,11.9,.633,.345,.228,.019,.041,.367,.609,.728,.508,.600,.182,.286,.825,.893,.082,18,.388,.289,0,0,,braunch01
272,Marvin Bagley III,26,2TM,PF,51,10,1020,.608,5.3,.909,.556,.336,.015,.003,.091,.627,.721,.470,.600,1.000,.419,.615,1.000,.228,75,.129,.500,0,0,,baglema01
