Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
121,Bobby Portis,30,MIL,PF,65,9,24.2,5.5,11.2,.492,2.1,4.5,.462,3.4,6.7,.511,.584,0.7,1.0,.714,1.3,5.1,6.4,1.6,0.6,0.2,1.0,1.7,13.7,,portibo01
122,Naz Reid,26,MIN,C,68,2,26.0,5.2,11.1,.469,2.2,5.8,.373,3.0,5.2,.577,.568,1.1,1.6,.722,1.2,5.0,6.2,2.4,1.0,1.0,1.6,2.5,13.7,,reidna01
123,Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,.633,0.1,0.5,.200,5.5,8.5,.656,.638,2.3,2.9,.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,,edeyza01
124,Aaron Nesmith,26,IND,SF,40,37,29.5,4.6,11.4,.401,2.3,6.2,.371,2.3,5.2,.437,.502,2.2,2.6,.835,1.1,3.1,4.3,2.0,0.6,0.6,1.3,2.6,13.6,,nesmiaa01
125,Jordan Poole,26,NOP,PG,34,6,24.3,4.3,11.5,.371,2.5,7.4,.332,1.8,4.1,.442,.478,2.6,3.0,.871,0.2,1.8,2.1,3.0,0.6,0.4,1.8,2.4,13.6,,poolejo01
126,Quentin Grimes,25,PHI,SG,63,16,30.0,4.5,10.1,.446,1.7,5.3,.326,2.7,4.7,.582,.533,2.8,3.3,.837,0.7,3.0,3.7,3.4,0.9,0.4,1.9,2.0,13.5,,grimequ01
127,Brice Sensabaugh,22,UTA,SF,65,14,22.4,4.7,10.6,.449,2.0,5.6,.354,2.7,4.9,.558,.544,2.0,2.5,.831,0.8,2.2,3.0,1.6,0.7,0.1,1.4,1.8,13.5,,sensabr01
128,De'Anthony Melton,27,GSW,PG,37,13,22.8,4.8,11.3,.425,1.5,5.1,.298,3.3,6.2,.528,.492,2.2,2.7,.828,0.7,2.4,3.1,2.4,1.6,0.4,1.7,2.2,13.4,,meltode01
129,Reed Sheppard,21,HOU,SG,67,10,26.0,4.9,11.5,.429,2.6,6.8,.387,2.3,4.7,.489,.543,0.9,1.2,.797,0.3,2.5,2.8,3.2,1.4,0.7,1.6,2.1,13.4,,sheppre01
130,Cedric Coward,22,MEM,SG,53,38,26.0,4.8,10.3,.467,1.5,4.4,.342,3.3,5.9,.561,.540,2.2,2.6,.838,1.4,4.8,6.2,2.8,0.6,0.4,1.8,2.0,13.3,,cowarce01
131,Tobias Harris,33,DET,PF,51,51,28.3,4.9,10.6,.458,1.3,3.7,.342,3.6,6.9,.520,.518,2.2,2.5,.884,0.9,4.2,5.1,2.3,0.9,0.3,1.0,1.7,13.2,,harrito02
132,Jeremiah Fears,19,NOP,PG,69,44,25.1,5.0,11.6,.426,1.2,3.4,.339,3.8,8.2,.463,.476,2.1,2.6,.790,0.7,3.0,3.7,3.2,1.1,0.3,2.2,1.8,13.1,,fearsje01
133,Collin Gillespie,26,PHO,PG,68,49,28.9,4.5,10.7,.426,3.0,7.2,.416,1.5,3.5,.445,.566,1.0,1.1,.857,1.1,3.1,4.2,4.8,1.3,0.2,1.6,1.6,13.1,,gilleco01
134,Kyle Kuzma,30,MIL,PF,63,38,26.5,4.9,10.0,.489,1.2,3.4,.355,3.7,6.6,.559,.550,2.0,2.7,.721,0.8,3.7,4.6,2.6,0.7,0.4,1.6,2.0,13.0,,kuzmaky01
135,Brandin Podziemski,22,GSW,SG,68,29,28.1,4.6,10.4,.447,1.8,4.9,.369,2.8,5.5,.517,.534,1.9,2.5,.756,0.9,4.3,5.2,3.8,1.1,0.2,1.6,1.8,13.0,,podzibr01
