Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
487,Haywood Highsmith,29,PHO,SF,5,0,71,18.3,.727,.611,.333,6.1,11.3,8.6,11.7,2.8,0.0,0.0,12.4,0.3,0.1,0.4,.250,2.9,1.8,4.7,0.1,,highsha01
488,Bobi Klintman,22,DET,SF,11,0,69,3.5,.366,.500,.115,8.1,20.7,14.5,11.2,2.1,0.0,18.0,20.0,-0.2,0.1,-0.1,-0.061,-8.3,-1.2,-9.4,-0.1,,klintbo01
489,Jalen Slawson,26,IND,SF,3,1,69,7.4,.388,.667,.267,6.1,17.9,11.8,15.0,2.8,3.7,23.0,13.3,-0.1,0.1,0.0,-0.016,-5.9,0.4,-5.5,-0.1,,slawsja01
490,David Jones García,24,SAS,SF,11,0,68,21.0,.579,.200,.240,6.5,13.9,10.3,37.8,4.2,1.3,15.3,20.2,0.1,0.1,0.3,.203,2.6,3.7,6.3,0.1,,jonesda06
491,Isaiah Crawford,24,HOU,SF,11,0,67,9.3,.508,.615,.308,3.4,13.0,8.3,7.5,1.5,4.1,11.9,10.5,0.0,0.1,0.1,.079,-2.2,1.0,-1.1,0.0,,crawfis01
492,Kadary Richmond,24,WAS,SG,3,0,67,20.1,.722,.250,.188,1.6,14.5,7.9,16.8,5.7,1.3,10.4,12.0,0.2,0.1,0.3,.180,-0.9,4.1,3.2,0.1,,richmka01
493,Antonio Reeves,25,CHO,SG,9,0,66,12.3,.675,.650,.000,3.5,10.1,6.8,4.4,0.7,0.0,4.8,13.4,0.1,0.0,0.2,.118,1.0,-0.2,0.8,0.0,,reevean01
494,Bez Mbeng,22,UTA,SG,2,0,66,3.3,.300,.400,.000,6.5,5.0,5.8,12.9,2.9,3.0,37.5,10.0,-0.2,0.0,-0.1,-0.091,-8.3,-0.8,-9.1,-0.1,,mbengbe01
495,Monte Morris,30,IND,PG,6,0,65,7.0,.414,.400,.200,1.6,10.4,5.8,19.1,0.7,1.3,8.4,15.5,-0.1,0.0,0.0,-0.026,-4.5,-1.5,-6.0,-0.1,,morrimo01
496,Drew Peterson,26,CHO,PF,6,0,64,0.6,.148,.750,.125,5.4,10.4,7.9,3.8,2.3,1.4,0.0,11.1,-0.2,0.1,-0.1,-0.083,-8.3,-1.6,-10.0,-0.1,,peterdr01
497,Trey Jemison,26,NYK,C,11,0,61,6.4,.605,.000,.143,14.4,14.6,14.5,6.0,0.8,3.3,44.6,9.4,0.0,0.1,0.0,.030,-7.2,-0.3,-7.5,-0.1,,jemistr01
498,James Wiseman,24,IND,C,4,1,58,4.1,.597,.000,.200,9.0,5.8,7.5,7.1,0.0,1.5,31.5,11.6,0.0,0.0,0.0,-0.027,-8.0,-1.0,-9.0,-0.1,,wisemja01
499,Patrick Baldwin Jr.,23,3TM,SF,7,0,58,10.5,.510,.563,.375,11.2,13.7,12.5,4.4,1.7,4.7,13.9,16.0,0.0,0.0,0.0,.014,-4.3,-1.3,-5.6,-0.1,,baldwpa01
499,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,23.7,1.025,.750,.500,0.0,9.4,4.9,0.0,0.0,0.0,17.0,21.7,0.1,0.0,0.1,.212,5.2,-0.4,4.8,0.0,,baldwpa01
